ticker,drawdown_medio_252d
MGLU3,-0.5490957969444054
HAPV3,-0.38475383102874444
PRIO3,-0.3515711589594243
CSNA3,-0.3261571389236845
UGPA3,-0.30782566547724094
BRFS3,-0.2866469114159489
LREN3,-0.2608138190276991
RADL3,-0.25496341687300117
B3SA3,-0.25445650721451024
BBDC4,-0.24293318866542035
BBAS3,-0.22932243104961922
GGBR4,-0.21730137026249272
BPAC11,-0.21695333813044199
VIVA3,-0.20381942828236102
WEGE3,-0.20262931698041795
VALE3,-0.1986383681798062
SUZB3,-0.19823525975440295
RENT3,-0.18814179121439903
SANB11,-0.1867734740824662
EQTL3,-0.18518289446669048
JBSS3,-0.18290784348310923
ITUB4,-0.179145055259528
ABEV3,-0.17772653063290636
ELET3,-0.17306398183617977
KLBN11,-0.16667013232690003
ELET6,-0.1658242769650495
PETR4,-0.16253559672215367
PETR3,-0.162023821553964
CCRO3,-0.16166132534004474
RAIL3,-0.1494656925342882
VIVT3,-0.14686062577670592
SBSP3,-0.13214205475548294
CPFE3,-0.11431134087685632
TAEE11,-0.09174846693914511
TIMS3,-0.0847614484869864
