,0
volume_medio_63d,0.1254623973669512
volatilidade_126d,0.11981368017312423
volatilidade_63d,0.08887605286671402
retorno_252d,0.07614662841385114
retorno_126d,0.07557570919942415
volume_medio_21d,0.07339781794919023
distancia_maxima_252d,0.07109027151418987
amplitude_media_21d,0.0710127237201143
drawdown_252d,0.06571579183605009
negocios_medio_21d,0.05918474006298796
retorno_63d,0.05720837500475227
sharpe_aprox_63d,0.043691838050771974
volatilidade_21d,0.042895000571173035
retorno_21d,0.022224283721630208
retorno_7d,0.005512875519409797
retorno_1d_benchmark,0.0012553847273206432
retorno_1d,0.0009364293023449585
