ticker,volume_medio_21d
VALE3,179285282417.627
PETR4,171994695966.6269
ITUB4,88585180310.19717
BBDC4,74211988078.54018
BBAS3,56484592266.956474
B3SA3,56112212920.76425
MGLU3,50547050723.448685
PETR3,47277827159.37749
ABEV3,39189824367.229225
RENT3,35568202063.74304
SUZB3,34122089590.05853
PRIO3,33029305589.166386
LREN3,30470811975.88078
JBSS3,30272767639.4135
ELET3,28585146035.202866
BPAC11,27893062628.41232
GGBR4,27527951696.766678
WEGE3,27435445167.94522
HAPV3,24037436078.245335
RAIL3,22075878692.877033
SBSP3,21036171885.21423
CSNA3,20167573790.45346
EQTL3,20155762378.352654
BRFS3,19212285267.446045
RADL3,15870885752.741789
CCRO3,12197300062.585468
UGPA3,12154727718.561768
KLBN11,12136800227.738947
TIMS3,11119091797.055138
ELET6,9631103923.167406
VIVT3,8613120234.739742
SANB11,8315367138.396409
CPFE3,7337708515.970565
TAEE11,7223478623.943062
VIVA3,5462363253.497325
