ticker,probabilidade_media,taxa_real_superacao,qtd_observacoes
ELET6,0.5121061818016186,0.45535714285714285,336
BRFS3,0.5114634757434005,0.375,328
VIVA3,0.5107669289920419,0.625,336
UGPA3,0.5063204644448009,0.26785714285714285,336
CPFE3,0.5010264000631257,0.5565476190476191,336
TIMS3,0.49818268750570927,0.6428571428571429,336
SANB11,0.4941494876708131,0.4851190476190476,336
KLBN11,0.49342548762120814,0.24107142857142858,336
CCRO3,0.49066397769328757,0.2555066079295154,227
RADL3,0.48891144061096614,0.3125,336
GGBR4,0.4859435598029436,0.45535714285714285,336
VIVT3,0.48508699094954816,0.44642857142857145,336
HAPV3,0.46856936944100636,0.33630952380952384,336
RENT3,0.4681028015094599,0.36904761904761907,336
CSNA3,0.46708492696621856,0.25892857142857145,336
MGLU3,0.4541899856497209,0.36607142857142855,336
RAIL3,0.45217792189305833,0.09821428571428571,336
JBSS3,0.4458644072629037,0.5573122529644269,253
LREN3,0.4428414870083172,0.38392857142857145,336
PRIO3,0.4302110551282968,0.2708333333333333,336
EQTL3,0.41605328359098337,0.31845238095238093,336
WEGE3,0.410726179398888,0.47619047619047616,336
BBDC4,0.40512559983072827,0.625,336
SUZB3,0.40332492887644555,0.35119047619047616,336
ITUB4,0.400936128381419,0.43452380952380953,336
BPAC11,0.40046384349489755,0.6577380952380952,336
ABEV3,0.40010358084104397,0.4255952380952381,336
B3SA3,0.39789982926927536,0.4851190476190476,336
PETR3,0.394922640290511,0.2767857142857143,336
BBAS3,0.38958758313983877,0.24404761904761904,336
PETR4,0.38954322870634633,0.25892857142857145,336
ELET3,0.3869784342752287,0.5,336
VALE3,0.37863596678163575,0.44047619047619047,336
SBSP3,0.37623605552806855,0.8244047619047619,336
TAEE11,0.36033867338248843,0.36904761904761907,336
